N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,21.873172016022465,72.61998069979063,6.336265635406719,199.62778723976948,rice
85,58,41,21.49393308765763,83.41820130983068,6.902118653052763,221.55392926349782,rice
60,55,44,24.299836226201386,79.14395095587186,7.6810130692299,265.45880849663314,rice
74,35,40,29.53715606281605,74.2100293445482,7.018778814004329,250.57153629618787,rice
78,42,42,19.66186807055333,78.48314592143387,7.596360969099641,286.5344758173254,rice
69,37,42,22.589774806101637,82.44749093172075,6.9623962824797925,259.32736087657423,rice
69,55,38,25.86726361101478,79.61569061730893,5.786398205310527,282.92326006388345,rice
94,53,40,21.812613078305816,71.86625590450465,6.06324212152925,236.91453291012144,rice
89,54,38,23.576931888130098,88.02054728443565,7.01319772734835,220.18755484030524,rice
68,58,38,24.30909394717193,89.4076021163936,5.951699170587533,221.83250929619123,rice
91,53,40,25.600399744375075,84.67514841669754,5.501582224767028,265.68656885259594,rice
90,46,42,23.047522662859485,75.76218760787592,7.467229301987232,239.29810618635403,rice
78,58,44,27.28472058313207,79.87939055026241,5.139712854573071,282.6835114009599,rice
93,56,36,20.188415730684405,82.02426524385271,6.90469705329149,189.2705149171913,rice
94,50,37,22.216016384973937,83.65782239780955,6.971537555977441,213.19090475018078,rice
60,48,39,23.157519091518054,83.64195831359041,7.072580548214403,236.12921323384273,rice
85,38,41,19.561455529331152,79.11750180610751,6.133260304530216,279.5648932013744,rice
91,35,39,24.422414235190548,80.8281573520678,6.7915862444349635,201.19109890729945,rice
77,38,36,20.049204248957576,82.4787028230762,5.864194139476103,219.4160106335116,rice
88,35,40,20.754828857329418,90.86671477073384,5.900783932891353,279.30914782006136,rice
89,45,36,24.25633911784311,83.99729665912362,6.562274643336853,203.34522359185095,rice
76,40,43,24.70590270902693,87.06241819687759,5.240845462468029,231.51881994619293,rice
67,59,41,22.08272375937585,81.3929750896468,5.913794586386618,211.10756154205149,rice
83,41,43,18.20303912757309,89.73069089601752,6.310797364460547,223.8196607854754,rice
98,47,37,22.395047990949635,83.38146470979748,7.56798336939066,253.41469542327778,rice
66,53,41,25.29748057941973,76.21845192913216,8.012034133028825,246.27060617777107,rice
97,59,43,24.057284435155392,91.06088574062596,6.274733605173696,267.0701344439393,rice
97,50,41,25.280622846691344,84.03450212269514,7.026773650012077,264.4217709628606,rice
60,49,44,19.57448409016239,82.28252386435759,6.283066337767278,246.08319435744278,rice
84,51,35,21.718186770413446,78.24669982300378,5.813363404420518,207.55844205215683,rice
73,57,41,20.243126355541207,86.42663734570381,5.785987214792899,290.27780547769265,rice
92,35,40,25.883875249017876,82.64719620633792,6.506306645694626,205.1498552546071,rice
85,37,39,24.500842970524133,83.72331701815602,6.49252439388874,214.11541510033334,rice
98,53,38,18.1516542020882,83.19549553721443,4.960453749127223,267.8722761487822,rice
88,54,44,27.380519124206376,92.3824492128819,6.192954251217434,236.21046092513885,rice
95,55,42,24.353651960057952,87.50580306117443,5.785730487941862,214.02965911505825,rice
99,57,35,27.175268900009513,82.13051806632512,6.101068490645005,258.3218508157571,rice
95,39,36,19.94396442224045,87.85906091383742,5.545834354772706,297.2751295522523,rice
60,43,44,18.36307486220314,77.7895977423623,7.361054816660773,300.0,rice
63,44,41,24.566710861738247,85.71839264973406,5.511025274781323,265.4126607522948,rice
62,42,36,24.258271319990822,91.11372311866555,6.417431441620028,247.6983756336407,rice
64,45,43,25.97253761237994,82.43819366303813,5.445302627013609,201.47587139873673,rice
83,60,36,25.36575281522352,75.90692297690458,7.035614593200513,208.34362579401332,rice
82,40,40,23.228467568821422,81.5531568270347,6.192422128396763,300.0,rice
85,52,45,23.356510999265144,76.91882473328805,7.5428783222054765,275.2561633573972,rice
91,35,38,23.457593883210585,76.60205133936148,6.427329310696276,183.54627434621366,rice
76,49,42,24.037501458080424,82.62709322704985,5.028064455029099,190.95778056680155,rice
74,39,38,25.35537946243783,77.56418333410679,7.795992166885855,217.45747554976157,rice
79,43,39,22.353519539136922,80.78769717974802,6.932647690732761,219.00794138139406,rice
88,55,45,21.10936826927453,84.92501604893323,7.665038311362277,257.9591729244399,rice
60,36,43,24.07938655878959,78.5243204592654,5.68668920452896,210.2470085713604,rice
76,60,39,19.275249639167367,87.94417581820885,6.7047257615768405,203.19527876703376,rice
93,56,42,22.50339631938808,84.77969032263798,7.454807810415486,190.42724298048557,rice
65,60,43,23.195346547681737,87.05208489812028,5.766433740801657,212.5338565801758,rice
95,52,36,28.291168014991904,80.54708542073931,5.343234363503351,278.33154853394865,rice
75,38,39,25.309328248232397,89.06615030533308,6.044090620118158,272.5955430319364,rice
74,54,38,23.977099563554724,78.01054130802343,6.879068497718377,213.25406818112063,rice
91,36,45,23.82503001829757,86.90556345418254,5.773453430220445,260.58921981670443,rice
71,46,40,20.94272056280713,82.98273879896765,6.666699414136564,175.6835245913325,rice
99,55,35,23.67492155424472,83.00524559992392,6.610614296158726,298.18852150569484,rice
72,40,38,19.45612181430942,76.33005326187575,8.003329385251215,257.6765377102923,rice
83,58,45,25.383968166672368,79.04292205861698,5.904909898807306,237.87248568480015,rice
93,58,38,18.402544291987944,86.75959668126693,6.649146453131879,282.26938566653615,rice
70,36,42,19.448655501838658,75.987123818879,6.817654604420012,206.55848279821294,rice
76,47,42,21.708748064788395,85.60717858049561,5.647399657995002,275.5480761477348,rice
99,41,36,27.170500927141646,75.91266700769877,6.535135223557325,174.37558163339924,rice
99,54,37,20.99945471683933,84.57590032333334,5.766856153679032,209.59416203982425,rice
